,time,,x1,y1,z1,x2,y2,z2
9066,100.722,1.75697E+12,145.973145,139.195694,548.836243,141.463333,-3.560516,548.217651
9067,100.733,1.75697E+12,145.939758,139.289993,548.798889,141.496902,-3.551977,548.094849
9068,100.744,1.75697E+12,146.079956,139.243042,548.880859,141.457397,-3.520747,548.224976
9069,100.755,1.75697E+12,146.094406,139.224182,548.897644,141.559402,-3.455091,548.289124
9070,100.766,1.75697E+12,145.978302,139.328293,548.754211,141.564316,-3.485519,548.322144
9071,100.777,1.75697E+12,146.073135,139.368683,548.738281,141.510437,-3.54047,548.282593
9072,100.788,1.75697E+12,145.983398,139.302658,548.767029,141.496841,-3.531606,548.208374
9073,100.8,1.75697E+12,145.929062,139.432632,548.59613,141.471085,-3.554393,548.135437
9074,100.811,1.75697E+12,146.027252,139.209854,548.883789,141.486862,-3.496023,548.232361
9075,100.822,1.75697E+12,146.038223,139.294998,548.811462,141.443085,-3.483605,548.239502
9076,100.833,1.75697E+12,146.070862,139.323959,548.766724,141.463333,-3.560516,548.217651
9077,100.844,1.75697E+12,145.995575,139.348373,548.716125,141.44278,-3.473002,548.155457
9078,100.855,1.75697E+12,146.038956,139.273148,548.82959,141.466446,-3.493451,548.174744
9079,100.866,1.75697E+12,146.043915,139.337494,548.848206,141.514099,-3.572629,548.300049
9080,100.877,1.75697E+12,146.026215,139.40654,548.614563,141.448669,-3.513557,548.199036
9081,100.888,1.75697E+12,145.991104,139.354889,548.762512,141.517593,-3.58384,548.256836
9082,100.9,1.75697E+12,145.942154,139.255951,548.840515,141.475662,-3.523608,548.274536
9083,100.911,1.75697E+12,146.035187,139.223694,548.837646,141.428558,-3.543653,548.209595
9084,100.922,1.75697E+12,146.021072,139.320923,548.825378,141.43042,-3.618527,548.221375
9085,100.933,1.75697E+12,146.031662,139.314514,548.879822,141.515381,-3.554405,548.241577
9086,100.944,1.75697E+12,145.893372,139.322723,548.957031,141.603821,-4.100003,548.335022
9087,100.955,1.75697E+12,145.5504,140.847198,548.95636,141.687256,-5.645036,548.023682
9088,100.966,1.75697E+12,146.104019,142.335297,548.781616,141.544769,-6.572515,547.847351
